,True value,Bias,Std deviation,RMSE
gamma[0],2.5,-0.0056960583,0.036781296,0.037219737
gamma[1],-1.3,-0.002470851,0.027451908,0.02756288
gamma[2],0.2,-0.0025961697,0.022680352,0.022828456
q.flat[0],0.2554128,-0.018858463,0.04335425,0.047278248
q.flat[1],0.804719,0.00015795231,0.025623335,0.025623823
q.flat[2],0.6019864,-0.006947398,0.034556005,0.035247467
r.flat[0],-0.26531416,-0.0014421344,0.0073206574,0.0074613523
"alphas.(0, 1)[0]",-0.5,-0.006757736,0.022514967,0.023507249
"alphas.(0, 1)[1]",-1.0,0.036520004,0.09899826,0.10551951
"alphas.(0, 2)[0]",-1.0,-0.0040944815,0.01451703,0.0150834
"alphas.(0, 2)[1]",-0.5,0.022700578,0.06674399,0.07049877
"alphas.(1, 2)[0]",-1.0,-0.001541853,0.023467466,0.023518063
"alphas.(1, 2)[1]",0.0,0.009795342,0.10249981,0.10296679
"betas.(0, 1)[0]",-1.3,-0.014599919,0.07317131,0.07461366
"betas.(0, 2)[0]",-0.9,-0.006065488,0.0714345,0.07169154
"betas.(1, 2)[0]",-0.7,0.00627321,0.095028624,0.09523545
